[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[647] N(738) HP(3132) HA(3870) HM(4035) PM(4585) PP(4940) PA(5185)
[648] N(772) HP(3272) HA(4109) HM(4243) PM(5111) PP(5305) PA(6208)
[649] N(98) HP(339) HA(431) PM(450) HM(467) PP(486) PA(525)
[650] N(38) HP(75) HA(137) HM(149) PM(164) PA(222) PP(815)
[651] N(434) HP(1760) HA(2227) HM(2288) PM(2473) PP(2710) PA(3122)
[652] N(387) HP(1582) HA(1943) HM(2001) PM(2235) PP(2403) PA(2777)
[653] N(103) HP(370) HA(480) HM(490) PA(511) PP(548) PM(552)
[654] N(648) HP(2698) HA(3418) HM(3500) PP(4487) PM(4602) PA(5172)
[655] N(814) HP(3483) HA(4302) HM(4470) PM(5695) PP(6030) PA(7461)
[656] N(106) HP(376) HA(486) PM(495) HM(512) PA(583) PP(587)
[657] N(274) HP(1078) HA(1344) HM(1400) PP(1505) PM(1690) PA(1951)
[658] N(355) HP(1407) HA(1788) HM(1846) PM(2006) PP(2244) PA(2607)
[659] N(227) HP(872) HA(1115) HM(1158) PM(1246) PA(1528) PP(1626)
[660] N(446) HP(1821) HA(2296) HM(2349) PM(2650) PP(2849) PA(3037)
[661] N(672) HP(2835) HA(3481) HM(3635) PM(4525) PP(4779) PA(5408)
[662] N(240) HP(949) HA(1170) HM(1215) PM(1318) PP(1650) PA(1739)
[663] N(738) HP(3114) HA(3930) HM(4007) PP(5204) PM(5328) PA(6169)
[664] N(841) HP(3591) HA(4484) HM(4648) PM(5793) PP(5797) PA(5995)
[665] N(806) HP(3446) HA(4314) HM(4469) PA(5640) PM(5727) PP(5815)
[666] N(197) HP(756) HA(954) HM(994) PM(1060) PP(1091) PA(1325)
[667] N(562) HP(2342) HA(2883) HM(3010) PM(3595) PP(4337) PA(4617)
[668] N(385) HP(1524) HA(1945) HM(2026) PM(2403) PA(2637) PP(2688)
[669] N(470) HP(1878) HA(2393) HM(2458) PM(2712) PA(3475) PP(3569)
[670] N(567) HP(2354) HA(2948) HM(3054) PM(3614) PP(3756) PA(4668)
[671] N(446) HP(1822) HA(2266) HM(2348) PM(2724) PP(3040) PA(3989)
[672] N(174) HP(642) HA(833) HM(848) PM(862) PP(983) PA(1071)
[673] N(137) HP(273) HA(498) HM(545) PM(669) PA(946) PP(9725)
[674] N(801) HP(3419) HA(4272) HM(4411) PP(5184) PM(5386) PA(6302)
[675] N(666) HP(1331) HA(2441) HM(2661) PM(4294) PA(4575) PP(223441)
[676] N(503) HP(2076) HA(2623) HM(2679) PM(3057) PP(3559) PA(3749)
[677] N(759) HP(3249) HA(4034) HM(4123) PM(5017) PP(5878) PA(5898)
[678] N(805) HP(3439) HA(4239) HM(4394) PM(5295) PP(5705) PA(6054)
[679] N(848) HP(3642) HA(4498) HM(4668) PM(5558) PA(6087) PP(6672)
[680] N(415) HP(1679) HA(2103) HM(2176) PP(2626) PM(2803) PA(3134)
[681] N(640) HP(2656) HA(3333) HM(3465) PM(4326) PA(4416) PP(4891)
[682] N(969) HP(4174) HA(5195) HM(5395) PM(6169) PP(7465) PA(7750)
[683] N(689) HP(2941) HA(3633) HM(3715) PP(5255) PM(5402) PA(5860)
[684] N(290) HP(1128) HA(1447) HM(1508) PM(1624) PP(1819) PA(1897)
[685] N(65) HP(222) HA(291) HM(298) PM(316) PA(362) PP(387)
[686] N(162) HP(600) PP(760) HA(782) HM(800) PM(898) PA(913)
[687] N(179) HP(670) HA(860) HM(871) PP(968) PA(1057) PM(1203)
[688] N(529) HP(2166) HA(2717) HM(2819) PP(3349) PA(3512) PM(3587)
[689] N(317) HP(1275) HA(1584) HM(1658) PP(1873) PM(2042) PA(2164)
[690] N(692) HP(2892) HA(3643) HM(3739) PP(4455) PM(4935) PA(5056)
[691] N(150) HP(537) HA(707) HM(730) PM(823) PA(847) PP(863)
[692] N(337) HP(1341) HA(1713) HM(1740) PM(1943) PA(2038) PP(2138)
[693] N(855) HP(3674) HA(4522) HM(4699) PP(6022) PM(6047) PA(7426)
[694] N(86) HP(303) HA(391) HM(396) PM(440) PA(467) PP(476)
[695] N(117) HP(412) HA(552) HM(559) PM(597) PA(609) PP(610)
[696] N(551) HP(2275) HA(2856) HM(2944) PM(3133) PP(3832) PA(3939)
[697] N(102) HP(374) HA(470) HM(487) PM(489) PP(499) PA(603)
[698] N(20) HP(60) PA(72) PM(81) HA(81) HM(82) PP(95)
[699] N(906) HP(3803) HA(4842) HM(5017) PP(5870) PM(6077) PA(6975)
[700] N(549) HP(2288) HA(2849) HM(2962) PM(3422) PA(3924) PP(4576)
[701] N(185) HP(695) HA(894) HM(918) PM(963) PA(1069) PP(1161)
[702] N(450) HP(1822) HA(2305) HM(2355) PM(2552) PP(2697) PA(3203)
[703] N(115) HP(424) HA(525) PP(539) HM(557) PM(635) PA(685)
[704] N(855) HP(3688) HA(4512) HM(4709) PM(5599) PP(5903) PA(7304)
[705] N(638) HP(2653) HA(3344) HM(3426) PM(4387) PP(4649) PA(4767)
[706] N(15) HP(43) PP(49) PM(56) HM(59) HA(61) PA(70)
[707] N(979) HP(4223) HA(5235) HM(5432) PM(6389) PP(7362) PA(8729)
[708] N(648) HP(2727) HA(3381) HM(3514) PM(4409) PP(4868) PA(4906)
[709] N(481) HP(1977) HA(2468) HM(2552) PP(3046) PM(3054) PA(3690)
[710] N(299) HP(1181) HA(1453) HM(1538) PP(1722) PM(1992) PA(2348)
[711] N(937) HP(3981) HA(4989) HM(5197) PM(6444) PP(6875) PA(7268)
[712] N(67) HP(231) PP(268) HA(299) HM(309) PM(336) PA(348)
[713] N(437) HP(1781) HA(2221) HM(2306) PM(2596) PP(2656) PA(2798)
[714] N(269) HP(1059) HA(1337) HM(1371) PP(1492) PM(1537) PA(1777)
[715] N(951) HP(4079) HA(5117) HM(5224) PM(6607) PP(7723) PA(7952)
[716] N(594) HP(2492) HA(3094) HM(3166) PM(3575) PP(3994) PA(4258)
[717] N(153) HP(570) HA(723) HM(741) PM(859) PP(933) PA(987)
[718] N(194) HP(744) HA(921) PM(960) HM(977) PP(1163) PA(1467)
[719] N(813) HP(3491) HA(4310) HM(4432) PP(5603) PM(5649) PA(6666)
[720] N(623) HP(2612) HA(3248) HM(3358) PP(3850) PM(4123) PA(5134)
[721] N(872) HP(3744) HA(4639) HM(4779) PM(6367) PP(6378) PA(7347)
[722] N(926) HP(3985) HA(4912) HM(5040) PM(6259) PA(6736) PP(7440)
[723] N(116) HP(413) HA(535) HM(565) PP(577) PM(584) PA(705)
[724] N(905) HP(3916) HA(4807) HM(4981) PP(6594) PM(6678) PA(7962)
[725] N(745) HP(1489) HA(2736) HM(2977) PM(4963) PA(6166) PP(279373)
[726] N(333) HP(1350) HA(1684) HM(1724) PP(1930) PM(2161) PA(2382)
[727] N(352) HP(1411) HA(1767) HM(1838) PM(2127) PP(2360) PA(2380)
[728] N(502) HP(2068) HA(2606) HM(2659) PM(3249) PA(3464) PP(3513)
[729] N(13) HP(39) PM(46) PP(47) PA(49) HA(50) HM(51)
[730] N(952) HP(4138) HA(5077) HM(5256) PM(6395) PP(7547) PA(8160)
[731] N(998) HP(4405) HA(5348) HM(5540) PP(7296) PM(7330) PA(7538)
[732] N(600) HP(2511) HA(3059) HM(3237) PM(3760) PP(4439) PA(5297)
[733] N(957) HP(4123) HA(5097) HM(5253) PM(6502) PP(6965) PA(7298)
[734] N(648) HP(2749) HA(3354) HM(3455) PM(4479) PP(5392) PA(5410)
[735] N(865) HP(3744) HA(4568) HM(4725) PM(6000) PP(6582) PA(7429)
[736] N(719) HP(3031) HA(3774) HM(3920) PM(4737) PA(5310) PP(5485)
[737] N(77) HP(273) HA(345) PM(359) HM(364) PA(393) PP(416)
[738] N(642) HP(2682) HA(3329) HM(3533) PP(4138) PM(4237) PA(4762)
[739] N(263) HP(525) HA(967) HM(1049) PM(1362) PA(2211) PP(35240)
[740] N(112) HP(395) HA(503) PM(536) HM(536) PP(541) PA(639)
[741] N(172) HP(343) HA(623) HM(685) PM(954) PA(994) PP(15220)
[742] N(941) HP(4055) HA(5022) HM(5207) PM(6532) PA(7345) PP(8726)
[743] N(900) HP(3867) HA(4832) HM(4977) PP(6047) PM(6355) PA(7394)
[744] N(82) HP(290) PM(368) HA(371) PP(375) HM(384) PA(393)
[745] N(786) HP(3305) HA(4188) HM(4274) PP(5258) PM(5896) PA(6893)
[746] N(581) HP(2401) HA(2988) HM(3133) PP(3836) PM(4062) PA(4799)
[747] N(603) HP(2512) HA(3171) HM(3238) PM(3867) PP(4005) PA(4791)
[748] N(22) HP(43) HA(77) HM(85) PA(90) PM(93) PP(295)
[749] N(318) HP(1246) HA(1600) HM(1629) PM(1887) PP(1958) PA(2118)
[750] N(467) HP(1880) HA(2417) HM(2475) PM(2860) PP(3198) PA(3445)
[751] N(686) HP(2916) HA(3584) HM(3716) PM(4335) PP(4471) PA(5825)
[752] N(422) HP(1718) HA(2145) HM(2230) PP(2629) PM(2653) PA(2870)
[753] N(431) HP(1763) HA(2152) HM(2281) PM(2661) PP(2708) PA(3395)
[754] N(653) HP(2749) HA(3392) HM(3517) PP(4250) PM(4464) PA(5972)
[755] N(121) HP(241) HA(444) HM(481) PM(567) PA(701) PP(7621)
[756] N(868) HP(3751) HA(4633) HM(4764) PM(6225) PA(6552) PP(6675)
[757] N(574) HP(2378) HA(2981) HM(3057) PM(3545) PA(4284) PP(4393)
[758] N(91) HP(335) HA(412) HM(429) PP(446) PM(455) PA(460)
[759] N(997) HP(4330) HA(5383) HM(5512) PM(6870) PP(7308) PA(8817)
[760] N(615) HP(2579) HA(3196) HM(3300) PP(3778) PM(3863) PA(4413)
[761] N(751) HP(1501) HA(2766) HM(3001) PM(5006) PA(5204) PP(283876)
[762] N(559) HP(2278) HA(2883) HM(2979) PP(3364) PM(3564) PA(3858)
[763] N(925) HP(3977) HA(4941) HM(5111) PM(5922) PP(7157) PA(8780)
[764] N(466) HP(1920) HA(2417) HM(2440) PM(2520) PP(3234) PA(3812)
[765] N(39) HP(77) HA(143) HM(153) PM(170) PA(177) PP(856)
[766] N(456) HP(1840) HA(2312) HM(2406) PM(2814) PP(2949) PA(3657)
[767] N(192) HP(726) HA(923) HM(955) PA(1293) PM(1295) PP(1353)
[768] N(439) HP(1798) HA(2215) HM(2307) PM(2684) PP(3218) PA(3706)
[769] N(854) HP(3661) HA(4605) HM(4712) PM(5896) PP(6022) PA(7584)
[770] N(587) HP(2456) HA(3074) HM(3172) PM(3767) PP(3879) PA(4466)
[771] N(386) HP(1543) HA(1952) HM(1982) PM(2129) PP(2357) PA(2616)
[772] N(981) HP(4213) HA(5249) HM(5402) PM(6745) PP(7868) PA(8729)
[773] N(371) HP(1509) HA(1872) HM(1928) PM(2331) PP(2346) PA(2363)
[774] N(115) HP(407) HA(538) HM(547) PM(550) PP(553) PA(698)
[775] N(453) HP(1862) HA(2326) HM(2380) PM(2812) PP(2835) PA(3342)
[776] N(438) HP(1777) HA(2213) HM(2275) PM(2536) PP(3120) PA(3199)
[777] N(205) HP(762) HA(976) HM(1016) PM(1039) PA(1493) PP(1684)
[778] N(850) HP(1699) HA(3111) HM(3397) PM(5534) PA(6875) PP(363373)
[779] N(97) HP(347) HA(439) HM(454) PM(513) PP(515) PA(561)
[780] N(29) HP(92) PP(110) PM(118) HM(120) HA(120) PA(131)
[781] N(231) HP(893) HA(1135) HM(1157) PM(1344) PP(1356) PA(1369)
[782] N(66) HP(229) HA(295) PM(305) HM(305) PA(334) PP(438)
[783] N(68) HP(228) HA(311) HM(320) PM(324) PA(329) PP(405)
[784] N(461) HP(1882) HA(2351) HM(2417) PM(2878) PP(2975) PA(3302)
[785] N(180) HP(684) HA(862) PM(896) HM(898) PP(1031) PA(1108)
[786] N(440) HP(1769) HA(2208) HM(2305) PM(2762) PA(3307) PP(3327)
[787] N(861) HP(3679) HA(4592) HM(4782) PM(5773) PP(6521) PA(6708)
[788] N(589) HP(2395) HA(3063) HM(3162) PP(3671) PM(3690) PA(4475)
[789] N(867) HP(3753) HA(4623) HM(4780) PM(5791) PA(6737) PP(6820)
[790] N(623) HP(2595) HA(3245) HM(3350) PM(3930) PA(4792) PP(5512)
[791] N(555) HP(2303) HA(2851) HM(2983) PP(3444) PM(3596) PA(3771)
[792] N(713) HP(3055) HA(3749) HM(3872) PP(5360) PM(5493) PA(6250)
[793] N(714) HP(3009) HA(3744) HM(3839) PM(4693) PP(4766) PA(5348)
[794] N(790) HP(3418) HA(4175) HM(4349) PM(5041) PA(6114) PP(6425)
[795] N(741) HP(3140) HA(3865) HM(4058) PM(4492) PP(5277) PA(5334)
[796] N(101) HP(359) HA(474) HM(477) PM(521) PP(525) PA(554)
[797] N(930) HP(3987) HA(4991) HM(5155) PM(6238) PP(6965) PA(7512)
[798] N(353) HP(1406) HA(1786) HM(1830) PP(2274) PM(2410) PA(2628)
[799] N(252) HP(970) HA(1220) HM(1263) PM(1557) PP(1586) PA(1608)
[800] N(930) HP(4002) HA(4940) HM(5135) PM(6116) PP(7152) PA(7677)
[801] N(947) HP(4150) HA(5085) HM(5203) PM(6262) PP(6378) PA(8899)
[802] N(88) HP(312) HA(411) HM(416) PP(428) PM(489) PA(505)
[803] N(730) HP(3076) HA(3863) HM(4020) PM(4704) PP(4963) PA(5599)
[804] N(293) HP(1161) HA(1433) HM(1519) PM(1821) PP(1990) PA(1991)
[805] N(599) HP(2484) HA(3129) HM(3237) PM(4042) PP(4122) PA(4390)
[806] N(999) HP(4404) HA(5431) HM(5545) PM(7178) PP(7652) PA(8533)
[807] N(623) HP(2599) HA(3285) HM(3374) PM(4117) PP(4816) PA(4845)
[808] N(431) HP(1728) HA(2201) HM(2281) PM(2606) PA(3200) PP(3209)
[809] N(839) HP(3605) HA(4443) HM(4634) PM(5797) PP(6453) PA(7493)
[810] N(464) HP(1889) HA(2397) HM(2469) PM(2931) PA(3242) PP(3389)
[811] N(103) HP(370) PM(438) HA(471) HM(490) PP(604) PA(743)
[812] N(334) HP(1367) HA(1694) HM(1742) PM(1983) PP(1988) PA(2349)
[813] N(136) HP(511) HA(642) HM(667) PM(669) PP(751) PA(845)
[814] N(475) HP(1952) HA(2446) HM(2515) PP(2886) PM(3028) PA(3264)
[815] N(717) HP(3057) HA(3776) HM(3935) PP(4718) PM(5064) PA(5205)
[816] N(881) HP(3814) HA(4718) HM(4857) PM(6389) PP(6748) PA(7732)
[817] N(817) HP(3501) HA(4290) HM(4501) PM(5134) PP(6117) PA(6619)
[818] N(671) HP(2847) HA(3553) HM(3630) PM(4169) PP(4852) PA(4960)
[819] N(637) HP(2673) HA(3301) HM(3449) PM(3974) PP(3993) PA(5403)
[820] N(869) HP(3726) HA(4620) HM(4753) PM(6298) PA(6540) PP(6939)
[821] N(691) HP(2939) HA(3662) HM(3717) PP(4915) PM(5034) PA(5393)
[822] N(819) HP(3500) HA(4306) HM(4480) PP(5514) PM(5958) PA(7215)
[823] N(725) HP(1449) HA(2663) HM(2897) PM(4803) PA(5718) PP(264623)
[824] N(86) HP(305) PP(390) HA(392) HM(407) PM(413) PA(432)
[825] N(625) HP(2591) HA(3249) HM(3348) PP(4259) PM(4406) PA(4458)
[826] N(447) HP(1832) HA(2272) HM(2360) PP(2747) PM(2794) PA(3379)
[827] N(308) HP(615) HA(1127) HM(1229) PM(1771) PA(2426) PP(48200)
[828] N(580) HP(2422) HA(3027) HM(3117) PM(3709) PA(4422) PP(4564)
[829] N(657) HP(2744) HA(3441) HM(3578) PM(4455) PP(4581) PA(5227)
[830] N(751) HP(3175) HA(3931) HM(4113) PM(4890) PP(5486) PA(6841)
[831] N(369) HP(1460) HA(1855) HM(1939) PM(2190) PP(2454) PA(2490)
[832] N(558) HP(1115) HA(2054) HM(2229) PM(3302) PA(3931) PP(157075)
[833] N(172) HP(648) HA(814) HM(857) PM(923) PP(1072) PA(1075)
[834] N(712) HP(3025) HA(3741) HM(3882) PM(4700) PP(4916) PA(6010)
[835] N(28) HP(86) PP(107) PM(110) HA(117) HM(123) PA(152)
[836] N(831) HP(3543) HA(4396) HM(4552) PM(5288) PP(5736) PA(7001)
[837] N(308) HP(1227) HA(1518) HM(1586) PP(1864) PM(1897) PA(2478)
[838] N(309) HP(1211) HA(1534) HM(1582) PM(1751) PP(2019) PA(2442)
[839] N(357) HP(1433) HA(1787) HM(1853) PM(2102) PP(2568) PA(2581)
[840] N(467) HP(1888) HA(2407) HM(2470) PP(3113) PM(3211) PA(3805)
[841] N(302) HP(1193) HA(1499) HM(1549) PM(2012) PP(2067) PA(2117)
[842] N(780) HP(3309) HA(4109) HM(4255) PM(5258) PA(5532) PP(5798)
[843] N(549) HP(2267) HA(2837) HM(2945) PM(3507) PP(3809) PA(4948)
[844] N(177) HP(660) HA(836) HM(880) PM(1003) PP(1121) PA(1159)
[845] N(942) HP(1883) HA(3448) HM(3765) PM(5900) PA(7378) PP(446035)
[846] N(781) HP(3357) HA(4117) HM(4257) PM(5199) PP(5908) PA(6161)
[847] N(968) HP(4168) HA(5188) HM(5351) PM(6677) PP(7202) PA(8283)
[848] N(463) HP(1885) HA(2349) HM(2435) PP(3025) PM(3157) PA(3843)
[849] N(664) HP(2810) HA(3474) HM(3611) PM(4274) PP(4693) PA(5006)
[850] N(178) HP(670) HA(849) HM(889) PM(982) PP(1067) PA(1147)
[851] N(309) HP(1226) HA(1549) HM(1592) PM(1818) PP(2025) PA(2131)
[852] N(576) HP(1151) HA(2096) HM(2301) PM(3466) PA(3846) PP(167326)
[853] N(578) HP(2431) HA(3027) HM(3102) PM(3649) PP(4082) PA(4148)
[854] N(87) HP(307) PP(380) HA(396) HM(403) PM(423) PA(479)
[855] N(136) HP(488) HA(632) HM(663) PP(670) PM(725) PA(908)
[856] N(370) HP(1450) HA(1866) HM(1931) PM(1976) PA(2617) PP(2953)
[857] N(635) HP(2624) HA(3325) HM(3461) PM(4230) PP(4541) PA(5013)
[858] N(269) HP(1063) HA(1333) HM(1368) PM(1461) PA(1868) PP(1905)
[859] N(116) HP(435) HA(522) HM(556) PA(559) PP(592) PM(598)
[860] N(532) HP(2177) HA(2740) HM(2827) PM(3234) PP(3319) PA(3958)
[861] N(501) HP(2070) HA(2629) HM(2667) PM(3026) PP(3141) PA(3863)
[862] N(694) HP(2886) HA(3663) HM(3782) PM(4804) PP(5093) PA(5105)
[863] N(391) HP(1605) HA(1973) HM(2029) PM(2327) PP(2539) PA(2748)
[864] N(154) HP(584) HA(728) HM(744) PM(826) PP(884) PA(977)
[865] N(416) HP(1697) HA(2100) HM(2198) PM(2582) PP(2940) PA(3142)
[866] N(128) HP(469) HA(602) HM(613) PP(725) PM(734) PA(824)
[867] N(349) HP(1404) HA(1777) HM(1802) PP(1979) PM(2153) PA(2523)
[868] N(628) HP(1255) HA(2278) HM(2509) PM(3947) PA(4802) PP(198760)
[869] N(114) HP(403) HA(532) HM(552) PP(590) PM(613) PA(702)
[870] N(813) HP(3470) HA(4309) HM(4459) PM(5454) PP(5530) PA(5896)
[871] N(159) HP(561) HA(740) HM(769) PP(781) PA(880) PM(958)
[872] N(851) HP(3644) HA(4498) HM(4689) PM(5992) PA(6378) PP(6556)
[873] N(850) HP(3626) HA(4561) HM(4714) PM(5705) PP(6544) PA(6989)
[874] N(802) HP(3403) HA(4200) HM(4395) PM(5509) PP(5976) PA(8069)
[875] N(970) HP(4242) HA(5193) HM(5376) PM(6587) PP(6887) PA(7634)
[876] N(447) HP(1794) HA(2269) HM(2347) PP(2661) PM(2704) PA(3323)
[877] N(385) HP(1528) HA(1919) HM(2009) PM(2377) PP(2455) PA(2784)
[878] N(850) HP(3655) HA(4564) HM(4692) PP(6108) PM(6389) PA(7049)
[879] N(510) HP(2104) HA(2627) HM(2707) PM(3220) PP(3326) PA(4191)
[880] N(395) HP(1570) HA(1968) HM(2045) PP(2161) PM(2438) PA(2748)
[881] N(16) HP(47) PP(58) PM(58) PA(63) HA(64) HM(66)
[882] N(281) HP(1112) HA(1377) HM(1437) PM(1628) PP(1707) PA(2249)
[883] N(343) HP(1366) HA(1718) HM(1759) PM(2293) PP(2499) PA(2599)
[884] N(834) HP(3584) HA(4413) HM(4594) PM(5519) PP(5649) PA(6776)
[885] N(408) HP(1610) HA(2037) HM(2141) PM(2538) PP(2624) PA(3158)
[886] N(755) HP(3199) HA(3940) HM(4119) PM(4816) PP(4988) PA(5741)
[887] N(960) HP(4139) HA(5143) HM(5359) PM(6962) PP(7652) PA(9332)
[888] N(724) HP(3045) HA(3801) HM(3998) PM(5243) PP(5358) PA(6151)
[889] N(760) HP(3204) HA(4016) HM(4111) PM(4900) PP(5903) PA(6229)
[890] N(123) HP(437) HA(572) HM(587) PM(652) PP(656) PA(858)
[891] N(151) HP(560) HA(718) HM(725) PM(813) PP(875) PA(953)
[892] N(654) HP(2752) HA(3399) HM(3545) PM(4190) PA(4719) PP(5009)
[893] N(881) HP(3801) HA(4701) HM(4885) PM(5786) PP(5855) PA(6648)
[894] N(297) HP(1167) HA(1446) HM(1526) PP(1706) PM(1839) PA(1945)
[895] N(138) HP(507) HA(645) HM(661) PM(683) PP(861) PA(885)
[896] N(275) HP(1086) HA(1352) HM(1404) PP(1419) PM(1662) PA(1780)
[897] N(169) HP(637) HM(816) HA(817) PP(917) PM(971) PA(1003)
[898] N(82) HP(284) HA(373) HM(387) PM(388) PP(398) PA(453)
[899] N(137) HP(508) HA(641) HM(650) PM(686) PA(761) PP(978)
[900] N(634) HP(2675) HA(3336) HM(3434) PP(4295) PM(4681) PA(5192)
[901] N(668) HP(2813) HA(3528) HM(3610) PM(4141) PP(4399) PA(4920)
[902] N(561) HP(1121) HA(2053) HM(2241) PM(3331) PA(4406) PP(158761)
[903] N(736) HP(3074) HA(3856) HM(3997) PM(4516) PP(5109) PA(5526)
[904] N(67) HP(228) PP(281) HA(304) HM(319) PM(325) PA(374)
[905] N(878) HP(3778) HA(4683) HM(4848) PA(6058) PP(6257) PM(6699)
[906] N(984) HP(4214) HA(5211) HM(5502) PP(6707) PM(6763) PA(7999)
[907] N(671) HP(2878) HA(3480) HM(3621) PM(4341) PP(4652) PA(4880)
[908] N(472) HP(1889) HA(2417) HM(2495) PM(2807) PA(3288) PP(3290)
[909] N(914) HP(4021) HA(4909) HM(5079) PM(5925) PP(6579) PA(6983)
[910] N(450) HP(1839) HA(2326) HM(2401) PM(2743) PP(3224) PA(3520)
[911] N(682) HP(2906) HA(3556) HM(3666) PP(4419) PM(4602) PA(5119)
[912] N(610) HP(2548) HA(3157) HM(3280) PM(4252) PP(4437) PA(5186)
[913] N(319) HP(637) HA(1179) HM(1273) PM(1854) PA(2151) PP(51676)
[914] N(884) HP(3769) HA(4737) HM(4879) PM(5916) PP(5920) PA(6626)
[915] N(111) HP(403) HA(505) HM(525) PP(534) PM(578) PA(600)
[916] N(522) HP(2143) HA(2701) HM(2786) PM(3111) PP(3527) PA(3835)
[917] N(454) HP(1876) HA(2324) HM(2419) PP(2800) PM(3071) PA(3519)
[918] N(741) HP(3155) HA(3905) HM(4015) PM(4941) PP(4992) PA(5804)
[919] N(406) HP(1644) HA(2057) HM(2118) PM(2603) PA(2726) PP(2874)
[920] N(454) HP(907) HA(1675) HM(1813) PM(2655) PA(3098) PP(104191)
[921] N(63) HP(125) HA(226) HM(249) PM(254) PA(375) PP(2140)
[922] N(722) HP(3017) HA(3802) HM(3922) PP(5131) PM(5253) PA(5346)
[923] N(511) HP(2099) HA(2614) HM(2755) PM(3439) PP(3790) PA(3823)
[924] N(754) HP(3197) HA(4004) HM(4110) PM(4942) PP(5187) PA(5499)
[925] N(519) HP(2140) HA(2689) HM(2745) PM(3223) PP(3794) PA(3812)
[926] N(573) HP(2375) HA(2959) HM(3097) PM(3745) PA(4387) PP(5106)
[927] N(308) HP(1211) HA(1529) HM(1602) PM(1929) PP(2083) PA(2271)
[928] N(774) HP(1547) HA(2828) HM(3093) PM(5165) PA(5976) PP(301471)
[929] N(373) HP(1481) HA(1894) HM(1926) PP(2107) PM(2217) PA(3202)
[930] N(629) HP(2627) HA(3267) HM(3378) PM(4011) PA(4594) PP(5565)
[931] N(400) HP(1629) HA(2009) HM(2094) PP(2601) PM(2696) PA(2832)
[932] N(929) HP(4037) HA(4958) HM(5153) PM(6147) PA(7006) PP(7064)
[933] N(87) HP(306) HA(390) HM(400) PP(447) PM(457) PA(499)
[934] N(121) HP(444) HA(567) HM(586) PM(621) PP(627) PA(821)
[935] N(571) HP(2363) HA(2990) HM(3029) PP(3333) PM(3371) PA(4258)
[936] N(827) HP(3547) HA(4412) HM(4501) PM(6021) PP(6156) PA(6380)
[937] N(402) HP(1600) HA(2000) HM(2091) PP(2452) PM(2529) PA(2977)
[938] N(677) HP(2842) HA(3583) HM(3690) PM(4493) PA(4902) PP(5008)
[939] N(247) HP(963) HA(1191) HM(1258) PP(1307) PM(1344) PA(1822)
[940] N(504) HP(2090) HA(2611) HM(2697) PM(3021) PP(3243) PA(3856)
[941] N(850) HP(3604) HA(4540) HM(4663) PP(5956) PM(5969) PA(8041)
[942] N(299) HP(1174) HA(1475) HM(1546) PA(1882) PM(1887) PP(2045)
[943] N(949) HP(4134) HA(5094) HM(5260) PM(6513) PP(7027) PA(7181)
[944] N(377) HP(1496) HA(1923) HM(1977) PM(2429) PA(2560) PP(2589)
[945] N(677) HP(2846) HA(3540) HM(3668) PM(4454) PP(4993) PA(5046)
[946] N(676) HP(2804) HA(3545) HM(3656) PM(3929) PP(4985) PA(5274)
[947] N(561) HP(2325) HA(2870) HM(2999) PM(3328) PP(4179) PA(4938)
[948] N(13) PP(33) HP(39) PM(42) PA(45) HA(48) HM(49)
[949] N(275) HP(1072) HA(1357) HM(1403) PM(1646) PP(1692) PA(1900)
[950] N(340) HP(1379) HA(1731) HM(1776) PM(2009) PP(2177) PA(2350)
[951] N(259) HP(517) HA(943) HM(1033) PM(1322) PA(1524) PP(34186)
[952] N(151) HP(555) HA(715) HM(741) PP(827) PM(874) PA(1054)
[953] N(984) HP(4275) HA(5324) HM(5477) PM(6744) PP(8314) PA(8440)
[954] N(285) HP(1107) HA(1390) HM(1453) PM(1626) PP(1797) PA(2076)
[955] N(976) HP(4163) HA(5245) HM(5415) PM(6338) PA(7303) PP(8456)
[956] N(864) HP(1727) HA(3156) HM(3453) PM(5588) PA(6637) PP(375406)
[957] N(72) HP(258) HA(328) PM(329) HM(336) PA(353) PP(450)
[958] N(550) HP(2275) HA(2847) HM(2935) PM(3235) PP(3822) PA(3974)
[959] N(840) HP(3594) HA(4411) HM(4596) PP(5261) PM(5793) PA(5880)
[960] N(262) HP(1031) HA(1290) HM(1330) PP(1466) PM(1625) PA(1677)
[961] N(66) HP(234) HA(292) PM(295) PP(300) HM(309) PA(338)
[962] N(829) HP(3530) HA(4395) HM(4559) PM(5742) PP(6004) PA(6110)
[963] N(958) HP(4156) HA(5153) HM(5347) PP(6959) PM(7290) PA(7915)
[964] N(264) HP(1036) HA(1314) HM(1348) PP(1555) PM(1654) PA(1914)
[965] N(147) HP(559) HA(702) HM(711) PM(766) PA(931) PP(1018)
[966] N(938) HP(4046) HA(5004) HM(5167) PM(6064) PA(7413) PP(7455)
[967] N(314) HP(1261) HA(1571) HM(1613) PM(1838) PP(1997) PA(2213)
[968] N(704) HP(2990) HA(3753) HM(3802) PP(4877) PM(4893) PA(5709)
[969] N(581) HP(2409) HA(3005) HM(3142) PM(3545) PP(3812) PA(4388)
[970] N(615) HP(2564) HA(3187) HM(3288) PM(3601) PA(4629) PP(4923)
[971] N(805) HP(3471) HA(4285) HM(4428) PM(5285) PA(6062) PP(6157)
[972] N(417) HP(1673) HA(2099) HM(2183) PM(2708) PA(2987) PP(3043)
