[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[134] N(517) HP(2162) HA(2691) HM(2765) PM(3276) PP(3556) PA(4171)
[135] N(25) HP(79) PM(86) PP(90) HA(102) PA(104) HM(107)
[136] N(275) HP(1089) HA(1377) HM(1399) PM(1647) PA(1834) PP(1866)
[137] N(458) HP(1839) HA(2317) HM(2406) PM(2887) PP(3070) PA(3196)
[138] N(75) HP(264) HA(335) HM(355) PP(371) PM(379) PA(452)
[139] N(490) HP(2041) HA(2544) HM(2594) PM(3349) PP(3432) PA(4101)
[140] N(781) HP(1561) HA(2849) HM(3121) PM(5205) PA(5665) PP(306931)
[141] N(710) HP(3036) HA(3709) HM(3842) PM(4717) PA(5584) PP(5745)
[142] N(795) HP(3414) HA(4181) HM(4378) PM(4891) PP(5885) PA(7096)
[143] N(175) HP(653) HA(840) HM(863) PA(962) PP(977) PM(1000)
[144] N(617) HP(2569) HA(3232) HM(3275) PM(4079) PP(4147) PA(4691)
[145] N(48) HP(161) HA(207) HM(216) PM(223) PA(284) PP(295)
[146] N(599) HP(2523) HA(3155) HM(3225) PM(3926) PA(4327) PP(4473)
[147] N(219) HP(853) HA(1073) HM(1100) PM(1237) PP(1304) PA(1519)
[148] N(134) HP(498) HA(641) PM(650) HM(651) PA(764) PP(785)
[149] N(511) HP(1021) HA(1856) HM(2041) PM(2814) PA(3861) PP(131836)
[150] N(623) HP(1245) HA(2267) HM(2489) PM(3902) PA(4375) PP(195620)
[151] N(811) HP(3483) HA(4330) HM(4431) PP(5761) PM(5927) PA(6178)
[152] N(85) HP(299) HA(380) HM(400) PP(420) PM(442) PA(524)
[153] N(474) HP(1928) HA(2401) HM(2506) PM(2908) PA(3019) PP(3364)
[154] N(50) HP(99) HA(184) HM(197) PA(223) PM(232) PP(1373)
[155] N(756) HP(3152) HA(3988) HM(4113) PP(5131) PM(5346) PA(6746)
[156] N(68) HP(235) HA(300) PP(307) HM(310) PM(350) PA(359)
[157] N(112) HP(223) HA(403) HM(445) PM(546) PA(579) PP(6550)
[158] N(925) HP(1849) HA(3411) HM(3696) PM(5835) PA(8345) PP(430123)
[159] N(495) HP(2029) HA(2535) HM(2617) PM(3019) PP(3275) PA(3653)
[160] N(780) HP(3317) HA(4132) HM(4344) PM(4978) PP(5664) PA(5940)
[161] N(122) HP(449) HA(575) PM(576) HM(589) PA(725) PP(894)
[162] N(484) HP(1977) HA(2517) HM(2569) PM(2997) PP(3385) PA(3686)
[163] N(690) HP(2939) HA(3670) HM(3718) PM(4187) PP(4886) PA(5054)
[164] N(533) HP(2200) HA(2731) HM(2827) PM(3047) PP(3625) PA(3929)
[165] N(238) HP(921) HA(1144) HM(1213) PP(1320) PM(1359) PA(1635)
[166] N(645) HP(2684) HA(3385) HM(3491) PP(4156) PM(4278) PA(4966)
[167] N(418) HP(1685) HA(2124) HM(2177) PA(2622) PM(2636) PP(2645)
[168] N(852) HP(3653) HA(4555) HM(4639) PM(6009) PA(6920) PP(7707)
[169] N(839) HP(3582) HA(4478) HM(4615) PP(5290) PM(5579) PA(6921)
[170] N(215) HP(832) HA(1068) PM(1069) HM(1086) PP(1181) PA(1405)
[171] N(611) HP(2517) HA(3215) HM(3242) PM(4171) PA(4348) PP(4371)
[172] N(609) HP(2565) HA(3146) HM(3274) PP(3943) PM(4094) PA(4728)
[173] N(565) HP(2339) HA(2951) HM(3036) PM(3649) PP(4015) PA(4052)
[174] N(372) HP(1484) HA(1891) HM(1952) PM(2292) PA(2472) PP(2898)
[175] N(974) HP(4208) HA(5240) HM(5386) PM(6297) PA(7314) PP(7562)
[176] N(913) HP(1825) HA(3334) HM(3649) PM(5785) PA(7676) PP(419065)
[177] N(588) HP(2451) HA(3066) HM(3143) PM(3659) PP(3836) PA(4258)
[178] N(951) HP(4112) HA(5048) HM(5227) PM(6213) PP(6785) PA(7591)
[179] N(259) HP(517) HA(948) HM(1033) PM(1322) PA(1938) PP(34186)
[180] N(769) HP(3308) HA(4044) HM(4220) PM(4856) PP(5858) PA(6650)
[181] N(482) HP(1972) HA(2458) HM(2533) PM(2906) PP(3539) PA(3621)
[182] N(429) HP(857) HA(1569) HM(1713) PM(2569) PA(3098) PP(93091)
[183] N(166) HP(625) HA(791) PP(806) PM(824) HM(831) PA(1004)
[184] N(66) HP(220) PM(271) HA(287) PA(297) HM(298) PP(367)
[185] N(434) HP(867) HA(1597) HM(1733) PM(2587) PA(3304) PP(95261)
[186] N(553) HP(2280) HA(2879) HM(2955) PM(3593) PP(3666) PA(4119)
[187] N(865) HP(3748) HA(4628) HM(4808) PM(5984) PP(6028) PA(7232)
[188] N(479) HP(1975) HA(2469) HM(2562) PM(2854) PP(2958) PA(3509)
[189] N(700) HP(2975) HA(3689) HM(3810) PM(4520) PP(5424) PA(5450)
[190] N(102) HP(365) HA(473) HM(486) PM(494) PP(522) PA(607)
[191] N(286) HP(1103) HA(1408) HM(1467) PP(1500) PM(1656) PA(2132)
[192] N(953) HP(4172) HA(5125) HM(5280) PM(6477) PA(7127) PP(7584)
[193] N(381) HP(1525) HA(1941) HM(1997) PM(2497) PP(2698) PA(2768)
[194] N(791) HP(3339) HA(4182) HM(4334) PP(5186) PA(5542) PM(5688)
[195] N(262) HP(1004) HA(1292) HM(1331) PP(1420) PM(1536) PA(1948)
[196] N(268) HP(1066) HA(1335) HM(1371) PM(1475) PP(1551) PA(2054)
[197] N(752) HP(3190) HA(4000) HM(4132) PM(4885) PP(5421) PA(6078)
[198] N(743) HP(3176) HA(3943) HM(3997) PM(5274) PP(5505) PA(6880)
[199] N(476) HP(1963) HA(2454) HM(2497) PM(2918) PP(2971) PA(3826)
[200] N(763) HP(3253) HA(4021) HM(4163) PP(5234) PM(5598) PA(6151)
[201] N(913) HP(3946) HA(4865) HM(5040) PM(6274) PP(6489) PA(7081)
[202] N(44) HP(140) HA(188) HM(194) PP(200) PM(234) PA(365)
[203] N(977) HP(4288) HA(5208) HM(5420) PP(6983) PM(7488) PA(7920)
[204] N(954) HP(4131) HA(5090) HM(5299) PM(6626) PA(7897) PP(8730)
[205] N(675) HP(2800) HA(3523) HM(3629) PM(4284) PA(5159) PP(5366)
[206] N(708) HP(3002) HA(3738) HM(3851) PM(4531) PP(5022) PA(5658)
[207] N(458) HP(1842) HA(2321) HM(2420) PP(2798) PM(3123) PA(3411)
[208] N(472) HP(1953) HA(2427) HM(2480) PM(2892) PP(3099) PA(3266)
[209] N(216) HP(837) HA(1046) HM(1082) PP(1361) PM(1443) PA(1626)
[210] N(308) HP(1197) HA(1560) HM(1593) PM(1650) PP(2062) PA(2116)
[211] N(703) HP(3003) HA(3678) HM(3824) PM(4412) PP(4704) PA(5109)
[212] N(622) HP(2606) HA(3234) HM(3331) PM(3764) PP(4136) PA(4953)
[213] N(179) HP(650) HA(854) HM(889) PM(961) PA(1270) PP(1306)
[214] N(302) HP(1199) HA(1479) HM(1542) PP(1725) PM(1755) PA(1948)
[215] N(758) HP(3227) HA(3987) HM(4143) PM(4896) PP(6036) PA(6785)
[216] N(942) HP(4002) HA(5089) HM(5217) PP(6604) PM(6832) PA(7493)
[217] N(566) HP(2341) HA(2978) HM(3019) PM(3656) PP(4028) PA(4609)
[218] N(486) HP(1985) HA(2532) HM(2620) PM(2960) PP(3285) PA(3917)
[219] N(516) HP(2093) HA(2643) HM(2730) PP(3128) PA(3292) PM(3480)
[220] N(351) HP(1412) HA(1746) HM(1831) PM(1879) PP(2172) PA(2746)
[221] N(458) HP(1866) HA(2332) HM(2412) PM(2595) PA(3073) PP(3472)
[222] N(560) HP(2326) HA(2902) HM(3010) PM(3269) PP(3938) PA(5491)
[223] N(174) HP(628) HA(824) HM(855) PP(939) PM(1007) PA(1062)
[224] N(336) HP(671) HA(1244) HM(1341) PM(2008) PA(2038) PP(57286)
[225] N(949) HP(4083) HA(5118) HM(5290) PM(5956) PP(7318) PA(7849)
[226] N(588) HP(2450) HA(3087) HM(3119) PM(3445) PA(4251) PP(4339)
[227] N(332) HP(663) HA(1215) HM(1325) PM(1975) PA(2612) PP(55940)
[228] N(798) HP(3388) HA(4251) HM(4352) PM(5843) PP(6153) PA(6988)
[229] N(575) HP(2384) HA(2986) HM(3085) PP(3292) PM(3536) PA(4027)
[230] N(821) HP(3523) HA(4347) HM(4498) PP(5593) PM(5978) PA(6563)
[231] N(205) HP(774) HA(989) HM(1032) PM(1148) PP(1363) PA(1429)
[232] N(690) HP(2953) HA(3637) HM(3755) PP(4378) PM(4581) PA(5242)
[233] N(268) HP(1024) HA(1318) HM(1359) PM(1540) PP(1663) PA(1879)
[234] N(667) HP(2814) HA(3514) HM(3588) PM(4267) PA(4768) PP(5278)
[235] N(960) HP(4092) HA(5059) HM(5297) PM(6649) PA(7716) PP(8075)
[236] N(393) HP(1599) HA(2002) HM(2052) PP(2655) PM(2716) PA(2734)
[237] N(893) HP(1785) HA(3273) HM(3569) PM(5691) PA(6815) PP(400955)
[238] N(596) HP(2449) HA(3095) HM(3183) PM(3689) PP(4377) PA(5321)
[239] N(478) HP(1941) HA(2427) HM(2496) PM(3100) PP(3377) PA(3810)
[240] N(237) HP(903) HM(1165) HA(1177) PP(1354) PM(1419) PA(1496)
[241] N(300) HP(1179) HA(1483) HM(1559) PP(1659) PM(1744) PA(1936)
[242] N(155) HP(309) HA(562) HM(617) PM(818) PA(930) PP(12398)
[243] N(630) HP(1259) HA(2298) HM(2517) PM(3963) PA(4687) PP(200023)
[244] N(291) HP(1149) HA(1413) HM(1486) PP(1699) PM(1725) PA(2142)
[245] N(841) HP(3576) HA(4459) HM(4643) PM(5473) PA(6384) PP(6690)
[246] N(360) HP(1412) HA(1813) HM(1881) PM(1912) PA(2539) PP(2627)
[247] N(206) HP(777) HA(1005) HM(1039) PM(1145) PP(1192) PA(1245)
[248] N(444) HP(1834) HA(2253) HM(2348) PM(2656) PP(2771) PA(3761)
[249] N(635) HP(2653) HA(3305) HM(3427) PM(3939) PP(4273) PA(5266)
[250] N(851) HP(3644) HA(4546) HM(4697) PM(5779) PA(5996) PP(6484)
[251] N(971) HP(4209) HA(5215) HM(5365) PM(6427) PP(7410) PA(8285)
[252] N(491) HP(2017) HA(2509) HM(2588) PM(3174) PP(3514) PA(3725)
[253] N(645) HP(2719) HA(3387) HM(3463) PM(3970) PP(4353) PA(4478)
[254] N(267) HP(1016) HA(1306) HM(1365) PM(1382) PP(1660) PA(1726)
[255] N(679) HP(1357) HA(2500) HM(2713) PM(4410) PA(5596) PP(232216)
[256] N(968) HP(4206) HA(5227) HM(5375) PM(6517) PP(7676) PA(8232)
[257] N(160) HP(597) HA(748) HM(779) PM(883) PP(896) PA(981)
[258] N(603) HP(2500) HA(3160) HM(3286) PM(3892) PA(4203) PP(4699)
[259] N(432) HP(863) HA(1582) HM(1725) PM(2579) PA(3205) PP(94390)
[260] N(416) HP(1690) HA(2118) HM(2183) PM(2664) PP(2857) PA(3301)
[261] N(451) HP(1857) HA(2319) HM(2370) PM(2605) PA(3134) PP(3241)
[262] N(928) HP(3999) HA(4980) HM(5143) PM(6380) PP(6856) PA(7892)
[263] N(944) HP(4027) HA(5044) HM(5275) PM(6327) PP(6919) PA(7214)
[264] N(76) HP(267) PP(337) HA(346) HM(353) PM(372) PA(406)
[265] N(149) HP(564) PP(705) HA(708) HM(727) PM(809) PA(903)
[266] N(131) HP(484) HA(614) HM(636) PM(693) PP(710) PA(990)
[267] N(614) HP(2545) HA(3191) HM(3287) PM(3634) PA(4313) PP(4597)
[268] N(488) HP(2001) HA(2522) HM(2618) PP(3107) PM(3119) PA(3430)
[269] N(826) HP(3574) HA(4412) HM(4523) PM(5311) PP(6182) PA(6489)
[270] N(142) HP(283) HA(521) HM(565) PM(711) PA(861) PP(10435)
[271] N(23) HP(68) PM(82) PA(86) HA(88) HM(92) PP(99)
[272] N(858) HP(1715) HA(3142) HM(3429) PM(5567) PA(6496) PP(370225)
[273] N(497) HP(2032) HA(2537) HM(2638) PM(3218) PP(3281) PA(4268)
[274] N(83) HP(296) HA(381) PM(391) HM(392) PP(405) PA(450)
[275] N(442) HP(1823) HA(2253) HM(2334) PM(2864) PP(2890) PA(3136)
[276] N(847) HP(3644) HA(4557) HM(4652) PM(5726) PP(6335) PA(7628)
[277] N(749) HP(3233) HA(3964) HM(4121) PM(4711) PP(5107) PA(5454)
[278] N(338) HP(1347) HA(1690) HM(1730) PM(1931) PA(2026) PP(2208)
